ponto,veic,situacao,tipo
156,"VW/VIRTUS EXCLU","Regular","1"
157,"HYUNDAI/ HB20","Regular","1"
158,"VW/NOVO GOL","Irregular","1"
159,"CHEV COBALT 18M","Regular","1"
160,"TOYOTA/CCROSS","Regular","1"
161,"HYUNDAI/CRETA","Regular","1"
162,"CHEV/SPIN","Regular","1"
163,"NISSAN KICKS","Regular","1"
164,"PRISMA 1.4 MT","Regular","1"
165,"VW/ GOL","Regular","1"
166,"CHEV/CLASSIC","Regular","1"
167,"CHEV/ONIX","Regular","1"
168,"CHERY QQ","Irregular","1"
169,"RENAULT/KWID","Irregular","1"
170,"COROLLA/XEI","Regular","1"
171,"VW/POLO SENSE","Regular","1"
172,"RENAULT/SANDERO","Regular","1"
173,"CHEV/SPIN","Regular","1"
174,"FIAT/DOBLO","Regular","1"
175,"PEUGEOT 2008 GT","Regular","1"
176,"FIAT/SIENA","Irregular","1"
177,"CHEV COBALT","Irregular","1"
178,"CLASSIC LS","Regular","1"
179,"CHEV/CLASSIC","Regular","1"
180,"CHEV/ONIX","Regular","1"
181,"CHEV/ SPIN","Regular","1"
182,"VW/GOL","Irregular","1"
183,"FIAT/SIENA","Irregular","1"
184,"GM/COBALT 1.8","Irregular","1"
185,"COROLLA/CROSS","Regular","1"
186,"COBALT 1.4","Irregular","1"
187,"CHEV/SPIN 1.8","Regular","1"
188,"BASALT SHINE","Regular","1"
189,"FIAT/DOBLO","Irregular","1"
190,"FIAT/PALIO","Regular","1"
191,"HONDA/CITY","Regular","1"
192,"CHEV/ONIX","Regular","1"
193,"CHERY QQ","Regular","1"
194,"FIAT/DOBLO","Irregular","1"
195,"FORD KA","Regular","1"
196,"HYUNDAI/HB20S","Regular","1"
197,"","Regular","1"
198,"KWID","Regular","1"
199,"FIAT/SIENA","Regular","1"
200,"CHEV/TRACKER","Regular","1"
201,"RENAULT/KWID","Regular","1"
202,"CHEV PRISMA","Regular","1"
203,"RENAULT/SANDERO","Regular","1"
204,"CHEV/TRACKER","Irregular","1"
205,"FIAT/ARGO","Regular","1"
206,"","Regular","1"
207,"CHEV/CLASSIC","Regular","1"
208,"TOYOTA/COROLLA/","Regular","1"
209,"TOYOTA/ COROLLA","Regular","1"
210,"CHEV/SPIN","Regular","1"
211,"VW NOVO VOYAGE","Regular","1"
212,"FIAT/SIENA","Regular","1"
213,"CHEV/SPIN","Regular","1"
214,"CHEV/PRISMA 1.4","Regular","1"
215,"VW FOX","Irregular","1"
216,"TOYOTA/ETIOS SD","Irregular","1"
217,"FIAT/MOBI","Regular","1"
218,"FIAT/SIENA","Regular","1"
219,"CHEV/TRACKER","Regular","1"
220,"FIAT/SIENA","Regular","1"
221,"FIAT/MOBI","Irregular","1"
222,"CHEV /SPIN","Irregular","1"
223,"VW/POLO MB","Irregular","1"
224,"","Regular","1"
225,"CHEV/ CORSA","Regular","1"
226,"FORD/ KA","Regular","1"
227,"CHEV/ONIX","Regular","1"
228,"FIAT SIENA","Regular","1"
